"dist","bird","date","release"
10.2701321382413,"Briar",2023-01-04,"October"
11.9228121847077,"Briar",2023-01-05,"October"
17.8692710130157,"Briar",2023-01-06,"October"
13.2971589211237,"Briar",2023-01-07,"October"
10.212129476798,"Briar",2023-01-08,"October"
15.2756703957166,"Briar",2023-01-09,"October"
12.1669774301894,"Briar",2023-01-10,"October"
10.6844555891724,"Briar",2023-01-11,"October"
9.62979850112934,"Briar",2023-01-12,"October"
12.5789474507944,"Briar",2023-01-13,"October"
9.06488498439185,"Briar",2023-01-14,"October"
13.3287264914884,"Briar",2023-01-15,"October"
12.1473112200636,"Briar",2023-01-16,"October"
10.7301792403753,"Briar",2023-01-17,"October"
9.47572146852797,"Briar",2023-01-18,"October"
9.30580005353276,"Briar",2023-01-19,"October"
13.9001103571724,"Briar",2023-01-20,"October"
14.370955487748,"Briar",2023-01-21,"October"
11.0596978876963,"Briar",2023-01-22,"October"
11.841754385101,"Briar",2023-01-23,"October"
8.49874241098498,"Briar",2023-01-24,"October"
9.25815413019159,"Briar",2023-01-25,"October"
12.3088885567244,"Briar",2023-01-26,"October"
10.5294256758629,"Briar",2023-01-27,"October"
8.52240065661528,"Briar",2023-01-28,"October"
7.41651967488279,"Briar",2023-01-29,"October"
10.2566270023465,"Briar",2023-01-30,"October"
7.64850591270556,"Briar",2023-01-31,"October"
12.4889191733019,"Briar",2023-02-01,"October"
9.24479768478711,"Briar",2023-02-02,"October"
11.5558955018496,"Briar",2023-02-03,"October"
14.4782004508531,"Briar",2023-02-04,"October"
10.6079271945071,"Briar",2023-02-05,"October"
12.4225580432166,"Briar",2023-02-06,"October"
8.19549426205922,"Briar",2023-02-07,"October"
10.4738968068654,"Briar",2023-02-08,"October"
7.10182126619692,"Briar",2023-02-09,"October"
7.65106783093376,"Briar",2023-02-10,"October"
9.1933621987676,"Briar",2023-02-11,"October"
8.22271003842179,"Briar",2023-02-12,"October"
11.9789221056368,"Briar",2023-02-13,"October"
10.4906053043277,"Briar",2023-02-14,"October"
6.06334521826425,"Briar",2023-02-15,"October"
6.86401810720894,"Briar",2023-02-16,"October"
7.46082414946244,"Briar",2023-02-17,"October"
8.79631210295344,"Briar",2023-02-18,"October"
9.0084984702098,"Briar",2023-02-19,"October"
9.52930506058836,"Briar",2023-02-20,"October"
10.4054609832722,"Briar",2023-02-21,"October"
11.5053316429837,"Briar",2023-02-22,"October"
7.59229190938809,"Briar",2023-02-23,"October"
7.13455368338338,"Briar",2023-02-24,"October"
7.62658513901244,"Briar",2023-02-25,"October"
7.57843557795623,"Briar",2023-02-26,"October"
7.18436499411532,"Briar",2023-02-27,"October"
9.13411476558922,"Briar",2023-02-28,"October"
6.94705249920248,"Briar",2023-03-01,"October"
7.90626757770462,"Briar",2023-03-02,"October"
8.12243398469563,"Briar",2023-03-03,"October"
6.59554832566405,"Briar",2023-03-04,"October"
7.7856463905125,"Briar",2023-03-05,"October"
9.52544630401402,"Briar",2023-03-06,"October"
9.61729478863575,"Briar",2023-03-07,"October"
11.7610346989581,"Briar",2023-03-08,"October"
10.3897769501916,"Briar",2023-03-09,"October"
